"Engine"	"Train size"	"ROC AUC"	"Log loss"	"Train time"	"Maximum memory"	"CPU load"
"vw"	10000	0.617455161515	0.144524706901	15.17	8615268352	1.0
"vw"	30000	0.647287001387	0.142233353612	13.9	8615268352	0.99
"vw"	100000	0.683247769366	0.139338887152	16.62	8615727104	1.01
"vw"	300000	0.70142316924	0.13745122263	17.75	8616218624	1.06
"vw"	1000000	0.716287545509	0.13588863014	23.83	8618024960	1.2
"vw"	3000000	0.727931938776	0.134788994538	40.1	8615903232	1.34
"vw"	10000000	0.739548558371	0.133521239905	91.08	8617746432	1.48
"vw"	30000000	0.746322264127	0.132553436306	242.17	8616017920	1.57
"vw"	100000000	0.752882908682	0.131795464547	718.71	8617304064	1.62
"vw"	300000000	0.754807741333	0.131569260518	1989.99	8616005632	1.67
"vw"	1000000000	0.757005674498	0.131394975718	6431.0	8617570304	1.71
"vw"	3000000000	0.756123547995	0.132255694498	17798.0	8617238528	1.78
"xgb"	10000	0.663509743693	0.142349739278	1.56	18403328	8.4
"xgb"	30000	0.682316321881	0.140907061928	4.58	33456128	10.63
"xgb"	100000	0.696964467698	0.139122124164	14.86	71958528	12.06
"xgb"	300000	0.714743656593	0.136567639058	45.52	193576960	13.07
"xgb"	1000000	0.733393270406	0.134198458139	179.49	617226240	13.2
"xgb"	3000000	0.744253560697	0.13280500935	610.78	1828356096	14.27
"xgb"	10000000	0.750706783469	0.131929939622	2541.02	6056378368	14.12
"xgb"	30000000	0.753289508009	0.131529827949	9065	18139652096	13.51
"xgb"	100000000	0.755224491108	0.131270032458	37105	60420395008	10.78
"xgb.ooc"	10000	0.663936721734	0.142204298072	6.52	31752192	3.71
"xgb.ooc"	30000	0.684182538527	0.140580030251	24.2	48721920	3.68
"xgb.ooc"	100000	0.697765852364	0.138864711732	87.48	109694976	3.72
"xgb.ooc"	300000	0.714633362901	0.136556600616	264.64	279904256	4.09
"xgb.ooc"	1000000	0.731054714952	0.134485312106	944.91	852369408	4.98
"xgb.ooc"	3000000	0.742823599115	0.132987550283	2517.86	1456574464	5.79
"xgb.ooc"	10000000	0.750953801983	0.131909674184	5874	1921560576	8.2
"xgb.ooc"	30000000	0.753881106383	0.131430669756	14520	2562379776	9.95
"xgb.ooc"	100000000	0.755746234321	0.131237777868	44875	4807467008	8.79
